,floors,grade,bathrooms,condition,bedrooms,lat,sqft_living,sqft_living15,zipcode,sqft_above
0,2,9,2,4,3.0,47.4635,1970,2340,98027,1970
1,1,9,2,4,3.0,47.6833,2600,2380,98117,1700
2,2,8,2,3,5.0,47.5794,2820,2820,98029,2820
3,2,8,2,3,4.0,47.515,3310,2380,98065,3310
4,1,8,2,3,4.0,47.5443,2160,1850,98006,1080
5,2,7,2,3,2.0,47.5489,1630,1590,98106,1280
6,1,8,2,3,5.0,47.7698,2210,2080,98011,1460
7,1,7,2,4,4.0,47.683,1940,2200,98052,1140
8,1,7,1,3,3.0,47.7658,1340,1480,98133,1340
9,2,9,2,3,3.0,47.6498,1750,2410,98102,1470
10,2,8,2,3,4.0,47.3406,2200,2310,98001,2200
11,2,9,2,3,4.0,47.7419,2730,2730,98011,2730
12,1,9,2,3,4.0,47.2617,3630,2830,98092,2300
13,1,8,1,3,4.0,47.701,1600,1090,98125,1130
14,2,8,2,3,3.0,47.4938,1930,2290,98059,1930
15,2,8,3,3,3.0,47.6506,1320,1440,98199,1040
16,1,7,1,3,2.0,47.6924,880,1340,98115,880
17,3,8,2,3,3.0,47.6697,1270,1320,98107,1270
18,1,7,2,4,3.0,47.5643,1580,1450,98024,1580
19,2,9,2,3,4.0,47.7538,2820,1300,98155,2820
20,1,7,2,3,4.0,47.6815,1820,2060,98115,1640
21,1,7,1,3,3.0,47.7512,1710,2260,98155,1710
22,1,7,2,3,4.0,47.678,1520,1910,98115,1520
23,2,8,2,3,4.0,47.7735,2860,2860,98072,2190
24,2,7,2,3,3.0,47.3358,2540,2280,98042,2540
25,1,7,1,4,4.0,47.5746,1450,1260,98006,1450
26,1,8,2,4,3.0,47.5714,2390,2010,98116,1440
27,1,6,1,2,2.0,47.5342,1210,1580,98106,1210
28,1,7,1,4,4.0,47.7274,1560,2080,98034,1560
29,1,9,3,3,4.0,47.5133,2730,2730,98059,1560
30,2,10,2,5,5.0,47.6345,3650,2880,98119,3370
31,1,7,1,3,3.0,47.7427,1160,1160,98077,1160
32,2,8,2,3,3.0,47.4761,2680,2990,98045,2680
33,1,8,2,4,3.0,47.3672,1930,2200,98042,1930
34,1,7,1,4,3.0,47.4225,1200,1380,98042,1200
35,1,8,2,3,5.0,47.6552,2910,2940,98105,2910
36,1,7,1,4,3.0,47.6022,1570,1570,98007,1570
37,1,7,1,4,3.0,47.5334,1090,1340,98106,1090
38,1,8,1,3,3.0,47.6267,2330,2570,98074,1970
39,1,8,2,5,3.0,47.4419,1960,1960,98166,1650
40,1,8,2,4,3.0,47.6188,2000,2070,98008,1000
41,2,8,2,3,3.0,47.5631,1770,1770,98116,1770
42,2,8,1,5,3.0,47.6954,2240,1570,98115,1550
43,1,7,1,4,2.0,47.7352,850,1100,98155,850
44,1,7,2,4,3.0,47.4828,2430,1560,98045,1570
45,1,9,1,3,4.0,47.2703,2190,3000,98092,2190
46,1,7,1,3,3.0,47.3815,1370,1400,98198,1370
47,1,8,2,4,3.0,47.3537,2090,1750,98003,1360
48,1,7,1,4,2.0,47.6639,800,1150,98107,800
49,1,7,1,3,3.0,47.6517,1800,1410,98014,1800
50,2,10,3,3,5.0,47.5337,3660,3320,98065,3660
51,1,8,1,4,3.0,47.5274,2360,1860,98136,1360
52,1,6,1,3,3.0,47.488,1180,1680,98045,1180
53,1,8,2,3,2.0,47.6344,1350,1790,98052,1350
54,2,10,2,3,3.0,47.3256,3240,4050,98023,3240
55,1,8,2,5,4.0,47.6578,2920,2470,98105,1910
56,1,7,2,5,4.0,47.6845,2200,2320,98033,1300
57,2,8,3,3,4.0,47.3279,3110,2820,98092,3110
58,2,9,2,3,4.0,47.4634,2710,2390,98027,2710
59,2,9,2,3,4.0,47.375,2710,2780,98038,2710
60,1,7,1,4,4.0,47.5725,1920,1450,98006,1070
61,3,8,2,3,3.0,47.6965,1770,1680,98103,1600
62,1,7,2,4,4.0,47.462,1480,2130,98055,1480
63,2,9,2,3,4.0,47.7232,3310,3350,98052,3310
64,1,7,3,4,3.0,47.3493,1850,1410,98038,1090
65,1,8,2,4,3.0,47.6747,2710,2060,98115,1880
66,1,8,1,3,3.0,47.5747,2910,2590,98075,2910
67,1,7,1,3,2.0,47.6883,900,1280,98117,900
68,1,6,1,4,3.0,47.5324,1010,1390,98065,1010
69,2,8,2,3,4.0,47.4909,2920,3030,98059,2920
70,1,7,2,4,3.0,47.4821,1650,1940,98027,1130
71,1,8,2,5,3.0,47.4395,2200,2350,98058,1570
72,1,7,2,3,4.0,47.6034,2280,2240,98122,1140
73,2,10,2,3,3.0,47.603,2850,2280,98122,1990
74,1,9,2,3,2.0,47.717,2680,2315,98053,2680
75,2,8,2,3,4.0,47.2654,2530,2140,98092,2010
76,1,8,1,5,2.0,47.5259,2540,2160,98118,1320
77,2,8,3,3,2.0,47.6634,1270,1290,98103,1110
78,1,7,1,3,4.0,47.7206,2010,1840,98034,1470
79,2,9,3,5,5.0,47.6578,4010,2610,98105,2850
80,1,8,2,4,3.0,47.639,2350,2170,98112,1810
81,2,8,2,3,2.0,47.5441,1590,1590,98029,1590
82,1,7,1,3,4.0,47.6337,2010,2010,98119,2010
83,1,7,2,4,3.0,47.6738,1800,1800,98115,1080
84,1,6,2,3,5.0,47.4136,2050,1940,98198,1430
85,2,9,2,3,4.0,47.515,3180,3715,98059,3180
86,1,8,1,3,3.0,47.6074,1330,1690,98004,1330
87,1,7,2,4,3.0,47.6994,1410,1410,98103,1410
88,2,8,2,3,3.0,47.62,1900,2030,98074,1900
89,1,7,1,5,4.0,47.7771,1970,1820,98133,1140
90,3,12,8,3,7.0,47.6675,13540,4850,98053,9410
91,1,7,2,4,5.0,47.7308,1840,1200,98133,1540
92,1,7,1,3,3.0,47.3319,1920,1860,98001,1000
93,1,7,2,5,4.0,47.7042,1480,1480,98133,1480
94,2,9,2,3,3.0,47.5493,2490,2130,98029,2490
95,1,7,1,3,4.0,47.6596,1390,1810,98103,1050
96,1,7,1,4,3.0,47.3075,1490,2488,98001,1490
97,2,8,2,3,4.0,47.4804,2910,2500,98059,2910
98,1,7,1,3,3.0,47.6891,1330,1340,98033,1330
99,1,7,1,5,5.0,47.4845,2550,2170,98027,1810
100,1,8,1,4,3.0,47.7241,2160,3010,98177,1400
101,2,10,2,3,3.0,47.5857,3240,2970,98075,3240
